,min_conf,max_conf,f_price
2021-11-04,147.960007,153.960007,150.460007
2021-11-05,148.279999,154.279999,150.579999
2021-11-08,147.440002,153.440002,150.940002
2021-11-09,147.809998,153.809998,150.609998
2021-11-10,144.869995,150.869995,147.069995
2021-11-11,144.869995,150.869995,147.869995
2021-11-12,146.990005,152.990005,150.490005
2021-11-13,146.990005,152.990005,149.990005
2021-11-15,143.33563688426506,149.33563688426506,149.63563688426506
